---------------------------------------|---------|----------|---------|---------|-------------------
File                                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
---------------------------------------|---------|----------|---------|---------|-------------------
  celestial-utils.ts                   |   89.61 |    88.88 |   66.66 |   89.61 | 16,53-56,64-65,77 
  geo-utils.ts                         |     100 |    96.22 |     100 |     100 | 238-240           
 src/theme                             |   94.38 |      100 |   16.66 |   94.38 |                   
  colors.ts                            |   94.38 |      100 |   16.66 |   94.38 | ...66-169,177-180 
 src/utils                             |     100 |    95.45 |     100 |     100 |                   
  responsive.ts                        |     100 |    95.45 |     100 |     100 | 54                
 src/utils/analysis                    |   90.44 |     81.6 |   90.24 |   90.44 |                   
  GraphPatternAnalyzer.ts              |   87.75 |    86.48 |   91.66 |   87.75 | ...25-132,187-201 
  TideDebugger.ts                      |   88.79 |    86.79 |   94.11 |   88.79 | ...54-255,261-290 
  VariationEffectMeasurer.ts           |   94.94 |    68.57 |   83.33 |   94.94 | ...61,193,212-217 
 src/utils/analysis/cache              |   60.42 |    81.25 |      50 |   60.42 |                   
  TTLLRUCache.ts                       |   60.42 |    81.25 |      50 |   60.42 | ...52-174,186-195 
 src/utils/analysis/helpers            |   75.63 |    88.46 |   64.28 |   75.63 |                   
  GeographicCalculator.ts              |   75.63 |    88.46 |   64.28 |   75.63 | ...16,222-225,230 
 src/utils/responsive                  |   99.04 |    85.89 |     100 |   99.04 |                   
  MarginCalculator.ts                  |   99.25 |    83.33 |     100 |   99.25 | 85                
  SVGSizeCalculator.ts                 |   98.89 |    72.72 |     100 |   98.89 | 109-110           
  ViewportDetector.ts                  |   97.43 |    93.54 |     100 |   97.43 | 99-101            
  types.ts                             |     100 |      100 |     100 |     100 |                   
 src/utils/scale                       |   91.39 |       80 |    82.6 |   91.39 |                   
  DynamicScaleCalculator.ts            |   95.78 |    79.59 |    92.3 |   95.78 | 32,74-83,213      
  ScaleRenderer.ts                     |   84.44 |    80.95 |      70 |   84.44 | ...23-127,130-138 
 src/utils/validation                  |   98.55 |    93.33 |     100 |   98.55 |                   
  TideDataTransformer.ts               |     100 |      100 |     100 |     100 |                   
  TideDataValidator.ts                 |   94.91 |    88.23 |     100 |   94.91 | 47-48,99-102      
  errors.ts                            |     100 |      100 |     100 |     100 |                   
  index.ts                             |     100 |      100 |     100 |     100 |                   
  types.ts                             |     100 |      100 |     100 |     100 |                   
---------------------------------------|---------|----------|---------|---------|-------------------
